"look_back","lstm_units","dropout_rate","learning_rate","batch_size","val_loss_mse","val_mae","n_epochs_run"
168,64,0.2,0.001,64,0.000862658722326159,0.0210231188684702,33
168,64,0.3,0.001,64,0.00095872872043401,0.022633770480752,31
168,32,0.3,0.001,64,0.0010640942491591,0.0241620875895023,30
24,32,0.2,0.001,64,0.00107283750548959,0.022974630817771,42
24,64,0.2,0.001,64,0.00107472075615078,0.0237589832395315,35
24,32,0.3,0.001,64,0.00121279677841812,0.0256498008966446,32
168,32,0.2,0.001,64,0.00136334646958858,0.0270681343972683,20
24,64,0.3,0.001,64,0.00142061873339117,0.0263814609497786,31
